acceptance_rate,name,act_avg,sat_avg,hs_gpa_avg,enrollment,cost_after_aid,tuition,institutionalControl
78,University of Oregon,22,980,3.6,20049,42682,34611,public
68,University of South Carolina,25,1120,3.69,25556,41810,32362,public
77,University of Tennessee,24,1040,3.9,22139,39170,31160,public
30,Howard University,22,1040,3.5,5899,33124,25697,private
53,University of Alabama,23,980,3.7,32563,26861,28100,public
71,University of San Francisco,23,1030,3.4,6745,42433,46250,private
66,University of the Pacific,23,1030,3.5,3483,37188,46346,private
76,University of Utah,21,1050,3.6,23789,35873,26408,public
83,Arizona State University--Tempe,22,1020,3.5,42477,37446,27372,public
87,Iowa State University,22,980,3.6,30671,27241,22256,public
52,Temple University,24,1050,3.6,29275,35109,27266,public
83,University of St. Thomas,24,1050,3.6,6111,34299,41133,private
80,The Catholic University of America,23,1040,3.4,3241,35518,44060,private
70,DePaul University,22,1030,3.6,15407,42438,39010,private
74,Duquesne University,24,1055,3.7,6039,29185,36394,private
68,Clarkson University,24,1080,3.6,3268,33669,47950,private
78,Colorado State University,22,1020,3.6,25177,39497,29140,public
76,Michigan Technological University,25,1073,3.7,5829,38217,32318,public
67,Seton Hall University,23,1070,3.6,5956,NA,40588,private
79,University of Arizona,21,970,3.5,34072,35051,32449,public
66,University of California--Riverside,21,940,3.7,19799,41753,41931,public
60,University of Dayton,24,1030,3.7,8330,34204,41750,private
75,University of Nebraska--Lincoln,22,990,3.5,20833,28968,23256,public
62,Hofstra University,24,1070,3.6,6899,40205,43960,private
76,Louisiana State University--Baton Rouge,23,1010,3.4,26118,40711,28051,public
69,Mercer University,25,1100,3.8,4706,26615,36000,private
60,The New School,23,1030,3.3,7014,50853,47330,private
63,University of Arkansas,23,1010,3.7,22548,33514,24308,public
76,University of Cincinnati,23,1030,3.6,25860,35124,26334,public
91,University of Kentucky,22,980,3.7,22621,NA,28046,public
81,George Mason University,24,1060,3.7,23812,38588,34370,public
59,New Jersey Institute of Technology,23,1110,3.5,8211,18674,31034,public
35,San Diego State University,23,1000,3.7,29853,31354,19340,public
47,University of South Florida,24,1070,3.9,31461,23103,17324,public
72,Washington State University,20,930,3.4,24904,30666,25817,public
94,Kansas State University,22,950,3.5,19472,34621,24775,public
77,Oregon State University,22,990,3.7,25327,36636,29457,public
65,St. John Fisher College,22,970,3.6,2786,28750,33120,private
74,University of Illinois--Chicago,21,990,3.3,17959,39033,27672,public
78,University of Mississippi,22,1000,3.6,19213,27943,23554,public
70,Adelphi University,22,1010,3.6,5205,NA,37170,private
61,Florida Institute of Technology,24,1060,3.6,3629,NA,41240,private
75,Ohio University,21,990,3.5,23788,NA,21360,public
87,Seattle Pacific University,21,990,3.5,3095,NA,40893,private
54,University at Albany--SUNY,22,1010,3.2,13139,NA,24358,public
75,Oklahoma State University,21,970,3.5,21093,NA,23776,public
60,University of Massachusetts--Lowell,24,1070,3.6,13639,NA,31865,public
71,University of Rhode Island,22,990,3.5,14801,NA,28874,public
65,Biola University,21,950,3.5,4091,NA,38448,private
89,University of Alabama--Birmingham,21,965,3.7,12369,NA,23790,public
80,University of Hawaii--Manoa,21,970,3.5,13132,NA,33764,public
48,University of La Verne,20,930,3.5,2809,NA,41450,private
82,Immaculata University,18,860,3.3,1555,NA,27350,private
93,Maryville University of St. Louis,22,900,3.6,2967,NA,28470,private
79,Missouri University of Science & Technology,25,1186,3.6,6909,NA,27701,public
63,St. John's University,22,970,3.5,16440,NA,40790,private
74,University of California--Merced,18,860,3.5,6815,NA,41612,public
73,University of Louisville,22,1000,3.5,15827,NA,26286,public
71,Mississippi State University,21,990,3.4,18090,NA,22358,public
50,University of Central Florida,24,1080,3.9,55776,NA,22467,public
76,University of Idaho,21,930,3.4,9586,NA,23812,public
75,Virginia Commonwealth University,21,980,3.6,24212,NA,32942,public
85,Kent State University,21,950,3.4,23684,NA,18376,public
80,Robert Morris University,21,940,3.5,4384,NA,29420,private
63,Texas Tech University,22,1020,3.5,29963,NA,23011,public
78,Edgewood College,21,955,3.4,1661,NA,28500,private
64,Lesley University,21,960,3.3,1929,NA,26550,private
61,Lipscomb University,22,990,3.6,2986,NA,30932,private
84,Suffolk University,20,910,3.2,5290,NA,37270,private
90,University of Maine,21,950,3.2,9323,NA,30282,public
95,University of Wyoming,21,960,3.5,9788,NA,16827,public
84,Azusa Pacific University,21,930,3.7,5770,NA,36120,private
62,Ball State University,20,990,3.5,17011,NA,25938,public
66,Montclair State University,15,870,3.2,16810,NA,20566,public
84,Pace University,21,940,3.3,8914,NA,44036,private
76,West Virginia University,21,930,3.5,22350,NA,23616,public
40,Andrews University,21,930,3.5,1688,NA,28436,private
74,Indiana University-Purdue University--Indianapolis,19,890,3.5,21748,NA,29806,public
47,University of New Mexico,19,950,3.4,20215,NA,22412,public
84,University of North Dakota,21,960,3.4,11255,NA,21462,public
70,Widener University,21,930,3.5,3591,NA,44166,private
60,New Mexico State University,18,820,3.5,12027,NA,22701,public
93,North Dakota State University,21,1000,3.4,12010,NA,20571,public
62,University of North Carolina--Charlotte,22,1030,3.9,23404,NA,20268,public
75,Bowling Green State University,20,920,3.4,14852,NA,18593,public
48,California State University--Fullerton,19,920,3.6,34576,NA,17460,public
43,Dallas Baptist University,19,1030,3.7,3223,NA,27480,private
69,University of Massachusetts--Boston,21,960,3.3,12847,NA,32985,public
83,University of Nevada--Reno,21,970,3.6,18191,NA,21787,public
72,Central Michigan University,20,890,3.4,19923,NA,23670,public
70,East Carolina University,20,970,3.8,22969,NA,23420,public
31,Florida A&M University,19,900,3.5,7769,NA,17725,public
83,Montana State University,21,1010,3.4,14400,NA,23042,public
73,University of Alaska--Fairbanks,19,950,3.3,7239,NA,23534,public
61,University of Colorado--Denver,21,960,3.4,14622,NA,31209,public
76,University of Massachusetts--Dartmouth,20,910,3.2,6999,NA,28285,public
92,University of Montana,20,950,3.3,10077,NA,24943,public
63,Louisiana Tech University,21,980,3.7,11281,NA,18438,public
91,South Dakota State University,20,890,3.4,10959,NA,11403,public
77,Southern Illinois University--Carbondale,19,880,3.1,12182,NA,13936,public
76,University of Alabama--Huntsville,25,1060,3.8,6507,NA,21480,public
62,University of Missouri--Kansas City,21,980,3.4,11708,NA,25999,public
90,Utah State University,20,980,3.5,24838,NA,20726,public
72,Ashland University,20,950,3.4,4536,NA,20700,private
54,California State University--Fresno,16,800,3.5,21528,NA,17929,public
52,Gardner-Webb University,18,870,3.7,2362,NA,30740,private
53,Georgia State University,20,950,3.4,25455,NA,29432,public
88,Shenandoah University,19,880,3.4,2099,NA,31920,private
88,University of South Dakota,19,830,3,7500,NA,11688,public
68,Wayne State University,20,983,3.4,17280,NA,28590,public
82,Boise State University,20,910,3.4,20209,NA,22642,public
82,Cardinal Stritch University,18,973,3.1,1534,NA,28844,private
72,Clark Atlanta University,18,820,3.2,3093,NA,23082,private
88,Cleveland State University,19,890,3.3,12433,NA,13848,public
73,Eastern Michigan University,19,910,3.3,17541,NA,11530,public
80,East Tennessee State University,20,920,3.5,11065,NA,26463,public
60,Florida Atlantic University,20,950,4,25402,NA,21595,public
65,Georgia Southern University,22,1030,3.3,18005,NA,18692,public
86,Indiana State University,16,790,3.1,11202,NA,19454,public
69,Jackson State University,16,810,2.9,7492,NA,17614,public
59,Kennesaw State University,21,1000,3.3,32166,NA,21158,public
76,Lamar University,18,860,3.2,9326,NA,22561,public
28,Liberty University,21,950,3.5,47050,NA,24304,private
55,Lindenwood University,20,920,3.3,7549,NA,16960,private
69,Middle Tennessee State University,19,950,3.4,19693,NA,27578,public
60,Morgan State University,16,800,3,6362,NA,17833,public
54,North Carolina A&T State University,18,850,3.5,9668,NA,19416,public
78,Northern Arizona University,20,940,3.6,26506,NA,24841,public
86,Oakland University,20,805,3.4,16568,NA,24735,public
85,Old Dominion University,18,890,3.3,19793,NA,28200,public
89,Portland State University,19,930,3.4,21633,NA,21180,public
85,Prairie View A&M University,15,750,3,7455,NA,10059,public
83,Regent University,19,920,3.5,3806,NA,17450,private
68,San Francisco State University,18,860,3.2,25945,NA,19134,public
53,Tennessee State University,16,788,2.9,7007,NA,20178,public
67,Tennessee Technological University,21,960,3.6,9437,NA,26190,public
45,Texas A&M University--Commerce,17,850,3.3,7605,NA,20884,public
86,Texas A&M University--Corpus Christi,17,850,3.3,10212,NA,26061,public
82,Texas A&M University--Kingsville,17,850,3.3,6811,NA,20912,public
51,Texas Southern University,15,715,2.9,6562,NA,21240,public
86,Texas Woman's University,17,820,3.1,10408,NA,21816,public
72,Trevecca Nazarene University,19,930,3.4,2092,NA,25100,private
88,Trinity International University,19,880,3.2,1076,NA,30750,private
96,University of Akron,19,910,3.3,17416,NA,21863,public
77,University of Arkansas--Little Rock,19,930,3.1,9374,NA,19797,public
52,University of Louisiana--Lafayette,21,940,3.3,15998,NA,23074,public
86,University of Louisiana--Monroe,19,920,3.5,7778,NA,20381,public
38,University of Maryland--Eastern Shore,17,790,2.9,3278,NA,18048,public
94,University of Memphis,19,890,3.4,17176,NA,21413,public
71,University of Missouri--St. Louis,21,940,3.4,13923,NA,27327,public
86,University of Nebraska--Omaha,19,930,3.4,12536,NA,22035,public
83,University of Nevada--Las Vegas,19,900,3.3,24714,NA,21498,public
60,University of New Orleans,20,950,3.2,6442,NA,13530,public
90,University of Northern Colorado,19,930,3.3,9503,NA,20474,public
80,University of South Alabama,20,875,3.5,11761,NA,19586,public
60,University of Southern Mississippi,20,940,3.3,11779,NA,9854,public
100,University of Texas--El Paso,17,810,3.2,20521,NA,21396,public
71,University of the Cumberlands,19,860,3.5,3082,NA,23000,private
94,University of Toledo,20,920,3.4,16247,NA,18578,public
41,University of West Florida,21,930,3.6,10082,NA,18628,public
59,University of West Georgia,18,870,3.2,11155,NA,20406,public
65,Valdosta State University,19,890,3.2,8780,NA,17196,public
92,Wichita State University,21,915,3.4,11823,NA,17270,public
95,Wright State University,18,930,3.3,12504,NA,17350,public
