acceptance_rate,pred,name,act_avg,sat_avg,hs_gpa_avg,enrollment,public_private,Index
74,0,University of Illinois--Chicago,21,990,3.3,17959,public,141
49,0,University of Connecticut,26,1130,3.74,19324,public,57
63,0,St. John's University,22,970,3.5,16440,private,158
63,0,Texas Tech University,22,1020,3.5,29963,public,167
86,0,Indiana State University,16,790,3.1,11202,public,221
86,0,Texas Woman's University,17,820,3.1,10408,public,243
69,0,Middle Tennessee State University,19,950,3.4,19693,public,227
52,0,Gardner-Webb University,18,870,3.7,2362,private,208
53,0,University of Denver,26,1110,3.7,5754,private,85
53,0,University of Alabama,23,980,3.7,32563,public,107
59,0,University at Buffalo--SUNY,24,1070,3.6,20411,public,96
65,0,Biola University,21,950,3.5,4091,private,151
48,0,Worcester Polytechnic Institute,28,1200,3.8,4432,private,65
51,0,Clemson University,26,1150,3.75,18599,public,66
71,0,University of San Francisco,23,1030,3.4,6745,private,108
71,0,Mississippi State University,21,990,3.4,18090,public,161
71,0,University of Missouri--St. Louis,21,940,3.4,13923,public,252
54,0,SUNY College of Environmental Science and Forestry,23,1070,3.7,1755,public,95
60,0,University of Massachusetts--Lowell,24,1070,3.6,13639,public,149
66,0,University of the Pacific,23,1030,3.5,3483,private,109
72,0,Washington State University,20,930,3.4,24904,public,137
72,0,Central Michigan University,20,890,3.4,19923,public,192
72,0,Ashland University,20,950,3.4,4536,private,206
72,0,Trevecca Nazarene University,19,930,3.4,2092,private,244
55,0,Clark University,27,1110,3.7,2289,private,78
61,0,Florida Institute of Technology,24,1060,3.6,3629,private,144
61,0,Lipscomb University,22,990,3.6,2986,private,170
44,0,Rensselaer Polytechnic Institute,28,1280,3.9,6265,private,41
84,0,Suffolk University,20,910,3.2,5290,private,171
48,0,University of Maryland--College Park,28,1210,3.84,28472,public,64
56,0,Purdue University--West Lafayette,25,1080,3.7,30043,public,56
62,0,Hofstra University,24,1070,3.6,6899,private,126
51,0,Brigham Young University--Provo,27,1160,3.8,30979,private,60
40,0,University of Georgia,26,1140,4,27951,public,54
46,0,University of Florida,27,1180,3.9,34554,public,44
54,0,Ohio State University--Columbus,27,1160,3.76,45831,public,53
75,0,Bowling Green State University,20,920,3.4,14852,public,187
58,0,Florida State University,25,1110,3.7,32929,public,79
47,0,University of South Florida,24,1070,3.9,31461,public,136
70,0,Widener University,21,930,3.5,3591,private,183
53,0,University of Wisconsin--Madison,27,1234,3.8,31710,public,49
76,0,Louisiana State University--Baton Rouge,23,1010,3.4,26118,public,127
76,0,University of Idaho,21,930,3.4,9586,public,163
59,0,University of California--Santa Cruz,23,1060,3.7,16962,public,82
42,0,University of California--Davis,24,1050,4,29546,public,47
82,0,Immaculata University,18,860,3.3,1555,private,155
82,0,Texas A&M University--Kingsville,17,850,3.3,6811,public,241
65,0,St. John Fisher College,22,970,3.6,2786,private,140
88,0,Trinity International University,19,880,3.2,1076,private,245
71,0,University of Rhode Island,22,990,3.5,14801,public,150
71,0,University of the Cumberlands,19,860,3.5,3082,private,260
60,0,University of Dayton,24,1030,3.7,8330,private,124
55,0,University of Pittsburgh,27,1190,3.79,19123,public,67
83,0,University of Nevada--Las Vegas,19,900,3.3,24714,public,254
78,0,Edgewood College,21,955,3.4,1661,private,168
84,0,Pace University,21,940,3.3,8914,private,177
50,0,University of Central Florida,24,1080,3.9,55776,public,162
90,0,University of Maine,21,950,3.2,9323,public,172
73,0,University of Louisville,22,1000,3.5,15827,public,160
85,0,Old Dominion University,18,890,3.3,19793,public,232
51,0,University of San Diego,26,1100,3.9,5711,private,90
74,0,University of California--Merced,18,860,3.5,6815,public,159
74,0,Indiana University-Purdue University--Indianapolis,19,890,3.5,21748,public,180
80,0,The Catholic University of America,23,1040,3.4,3241,private,115
63,0,University of Arkansas,23,1010,3.7,22548,public,130
63,0,Louisiana Tech University,21,980,3.7,11281,public,200
86,0,Texas A&M University--Corpus Christi,17,850,3.3,10212,public,240
75,0,University of Nebraska--Lincoln,22,990,3.5,20833,public,125
75,0,Ohio University,21,990,3.5,23788,public,145
75,0,Oklahoma State University,21,970,3.5,21093,public,148
76,0,University of New Hampshire,22,990,3.5,12871,public,102
76,0,West Virginia University,21,930,3.5,22350,public,178
82,0,Boise State University,20,910,3.4,20209,public,213
